ID_Date,Unique_visitors,PDFBrochuresDownloaded,ProductConfigurator,Product_configurator_Visists,SocialNetworks,DirectTraffic,EMail,NaturalSearch,OnlineMedia,OtherReferrer,PaidSearch,RopaHombre,RopaMujer,Complementos_x,Zapatos_x,Home_x,Interior_x,Otros_x,SR_Total,Dias_mes,Dia_inicio_mes,Dia_findemes,working_days,Dias_fines_semana,Easterweek,Visit_Store,Mercado,Sales,Complementos_y,Ropa_hombre,Zapatos_y,Ropa_Mujer,Home_y,Interior_y,Otros_y,Ticket_medio,CINE,EXTERIOR,INTERNET,PRENSA,PRODUCCION,RADIO,REVISTAS,PlataformasVideo,VARIOS,INV_Total
202201,272382,4838,33222,94248,1415,65373,25,167199,63649,39808,13798,50140,81289,16190,36790,18848,9906,183,213346,31,5,7,21,10,0,5516,76331,1299,115,270,273,444,131,60,6,68,59887.84,8200.0,133666.43,0.0,6050.0,2426.4,18013.5,338824.94,7531.030000000001,574600.14
202202,352581,5823,38570,109531,546,77209,26,176733,124861,45543,28656,51217,152805,26083,37960,20047,11057,461,299630,28,1,7,20,8,0,6769,97646,1752,155,393,286,689,179,42,8,86,72291.56,94627.51,189275.94,10000.0,6700.0,0.0,49110.91,487537.14,6972.02,916515.08
202203,332955,4845,33956,97805,5444,83178,341,173514,104132,43583,15243,49163,68383,18109,37765,20105,66200,198,259923,31,1,3,23,8,0,6249,111510,1897,148,442,333,693,249,30,2,92,55000.0,0.0,214037.62,4500.0,3700.0,0.0,0.0,75000.0,15284.85,367522.47
202204,282169,3711,45949,90689,1184,69335,162,162805,74044,39650,18510,48219,65126,16985,76244,17629,17827,176,242206,30,4,5,22,8,1,6507,100269,1546,110,371,297,591,154,23,0,87,10883.3,0.0,194816.97,48800.0,21550.0,1140.0,40876.0,610865.8899999999,12255.75,941187.91
202205,261829,9037,48685,92069,8648,70972,210,156011,44196,40472,20031,42229,44577,16498,79434,18526,10738,186,212188,31,6,1,21,10,0,7183,113667,1784,138,411,374,635,187,38,1,83,74333.2,0.0,130795.15999999996,11000.0,4900.0,102851.86000000002,20775.75,393807.7400000001,7926.459999999999,746390.17
202206,201141,10727,38608,73421,1082,61455,2374,134355,15600,35272,13658,35803,35046,14594,36188,14362,9893,169,146055,30,2,3,22,8,0,5798,123783,1818,153,483,336,659,154,33,0,81,37400.0,0.0,67827.66,0.0,12250.0,5526.49,75573.13,0.0,5405.719999999999,203983.00000000003
202207,206538,11023,38912,74564,909,66835,204,144300,11000,35674,12262,37299,37862,14185,32259,15420,11114,117,148256,31,4,6,22,9,0,5784,107287,1583,142,382,323,585,124,26,1,85,58816.5,0.0,61897.17,0.0,650.0,158.4,2600.0,1500.0,4574.5,130196.57
202208,259903,15743,47613,88335,7511,78704,14,172986,15205,42545,18902,57031,41422,15235,36525,27579,10447,151,188390,31,7,2,22,9,0,5505,64081,1142,96,299,216,433,73,25,0,80,0.0,0.0,46362.01,13000.0,9750.0,345.6,33860.0,391987.8699999999,28716.26,524021.7399999999
202209,261618,14130,44164,83840,1773,58630,199,174125,41832,41167,24528,45671,42593,16139,35018,63586,9478,122,212607,30,3,4,22,8,0,5967,79586,1541,117,399,295,516,196,18,0,72,39483.3,0.0,77470.41,9507.8,7850.0,2686.8,14580.0,0.0,6645.27,158223.58
202210,396642,16321,53200,100262,2117,74040,874,203699,162588,45763,18063,47997,94191,16499,40008,27531,10355,230,236811,31,5,7,21,10,0,6611,83242,1586,132,435,309,521,162,27,0,60,45733.2,0.0,271750.66000000003,0.0,20300.0,3162.0,117786.97,804181.4000000003,14421.129999999996,1277335.3600000003
202211,249824,12549,41706,80311,1718,67089,4366,179778,17594,42170,18994,42373,47172,15380,44717,27926,7485,233,185286,30,1,2,22,8,0,6249,92641,1562,114,436,295,548,147,22,0,63,74333.2,0.0,70091.03999999998,0.0,27959.0,3252.0,8800.0,0.0,4426.65,188861.89
202212,209224,9805,35717,68576,1942,55981,4991,149553,11118,36574,17592,35190,35275,13016,28467,17942,6931,322,137143,31,3,5,23,8,0,5472,96881,1817,120,446,481,531,184,55,0,61,0.0,0.0,66845.23,0.0,10500.0,2229.6,28100.0,0.0,3559.48,111234.31
202301,251831,12305,44708,85903,1690,59771,10490,190767,6990,40570,18527,52218,44472,16496,25856,21886,11097,166,172191,31,6,1,21,10,0,4621,84511,1072,86,249,240,309,121,67,0,69,63683.3,0.0,50163.95,0.0,8900.0,0.0,14800.0,482881.93000000017,5555.34,625984.5200000001
202302,260613,12474,47876,90726,5689,55576,1504,174879,26555,40923,38513,76452,36512,15885,25183,17635,16158,163,187988,28,2,1,20,8,0,5568,97791,1633,139,397,393,472,172,60,0,63,63333.2,0.0,114879.97,0.0,0.0,0.0,14300.0,825672.87,11970.85,1030156.89
202303,228014,10427,38636,73050,9182,56232,1309,170729,5379,38395,19291,43139,32440,14569,25241,14627,15173,180,145369,31,2,4,23,8,0,5450,125585,1545,108,519,339,365,148,66,0,79,54010.0,0.0,184172.5,1500.0,2450.0,297.2,10800.0,0.0,4099.509999999999,257329.21
202304,207833,11690,33190,63390,2296,50402,3628,149986,11336,34380,19240,38612,26536,12022,29773,12252,13853,121,133169,30,5,6,21,9,1,4447,101354,1145,74,339,282,314,93,43,0,81,47300.0,0.0,75768.76,25000.0,2600.0,327.6,0.0,506159.65,7193.56,664349.5700000001
202305,230426,16570,39382,75186,3816,56327,757,159421,30434,39038,18098,35264,49406,11968,34950,12242,13665,98,157593,31,7,2,22,9,0,6736,126393,2107,136,489,397,894,133,58,0,89,61600.0,0.0,91520.05000000002,13000.0,250.0,0.0,0.0,561110.8899999998,9819.63,737300.5699999998
202306,294687,13607,46154,84483,1016,71304,7213,146865,81641,41392,23318,30945,147593,12666,23831,10989,12360,82,238466,30,3,4,22,8,0,5859,131784,1870,128,361,427,797,109,48,0,82,55000.0,0.0,239780.98000000004,12000.0,2600.0,0.0,90489.6,1091468.01,11352.45,1502691.04
202307,220113,13676,33698,61335,3421,79389,1039,146242,4336,40195,21277,28272,71505,12374,24552,11518,12123,69,160413,31,5,7,21,10,0,5801,109947,1696,129,375,261,749,93,89,0,83,59400.0,0.0,30172.35,0.0,0.0,0.0,0.0,1500.0,4593.04,95665.39
202308,254381,15904,44518,79057,19302,76983,4531,168868,539,42787,16136,39063,59504,13020,30451,11139,13252,86,166515,31,1,3,23,8,0,5640,72409,1447,102,365,281,586,68,45,0,62,35750.0,28000.0,26169.05,0.0,100.0,0.0,0.0,388190.4599999999,1758.47,479967.9799999999
202309,195193,13313,40133,72001,1136,67405,948,145974,461,29847,11458,27297,42381,11817,23677,9348,10195,34,124749,30,4,5,22,8,0,5874,83286,1618,130,414,263,667,103,41,0,74,44000.0,0.0,111929.43,18450.0,16666.67,0.0,25296.01,0.0,1703.89,218046.0
202310,290965,18169,51339,93851,3652,114165,7386,160316,51725,28599,29321,32005,93005,12824,22327,12347,11996,8,184512,31,6,1,21,10,0,6602,94669,1704,97,346,302,735,157,67,0,86,60500.0,0.0,260145.84,10580.0,13000.0,0.0,115076.68,1000382.69,16594.89,1476280.1
202311,242451,16999,45218,84245,5144,122674,10584,152242,2336,27126,27055,25243,46827,12175,23003,12654,10171,187,130260,30,2,3,22,8,0,7233,104168,2147,123,510,385,957,130,42,0,85,0.0,0.0,97596.11,0.0,25000.0,0.0,7020.0,0.0,2258.21,131874.32
202312,203367,13691,40336,72409,2896,110864,3266,130510,405,22774,19003,24010,37144,10574,19232,11038,11589,9,113596,31,4,6,22,9,0,6311,102939,2163,115,509,389,996,127,27,0,89,0.0,0.0,27287.66,5500.02,0.0,0.0,11275.0,0.0,1701.92,45764.6
202401,266488,17565,51087,90872,5711,133517,3107,154374,16697,26055,34642,44865,46593,13691,21904,11891,11983,7,150934,31,7,2,22,9,0,5827,101658,1880,185,552,381,584,116,62,0,90,39600.0,0.0,87252.06999999998,0.0,3000.0,0.0,0.0,390701.94,6118.17,526672.18
202402,299866,19444,59157,105030,15205,145599,1868,158737,25195,34106,38035,47979,54426,12620,22052,11470,10862,5,159414,28,3,2,20,8,0,6976,110473,2237,171,549,376,923,140,78,0,95,55950.0,0.0,353887.25999999995,7000.0,0.0,0.0,10405.0,0.0,2177.44,429419.7
202403,254981,15247,49244,86681,35521,109026,10793,157007,2043,28587,11347,26136,41617,11122,18230,9021,10317,6,116449,31,3,5,23,8,0,6506,128165,2195,236,489,373,919,126,52,0,75,50230.0,0.0,133448.08000000002,5000.0,500.0,0.0,0.0,693066.72,3440.8,885685.6000000001
202404,220584,15098,45777,81540,992,98557,1595,144292,9755,25027,28959,24027,41722,10461,16474,8316,9945,3,110948,30,6,7,20,10,1,6176,116453,1663,172,370,302,697,78,44,0,84,43591.89,0.0,57885.36,14498.75,12400.0,0.0,22497.45,574876.0499999999,4223.07,729972.57
202405,281652,16523,48499,88308,2064,91138,143,139353,34073,21725,110054,24884,33785,11890,16991,9202,12658,6,109416,31,1,3,23,8,0,6453,135519,1964,216,423,325,859,94,47,0,89,109322.52,0.0,173500.49000000002,0.0,0.0,0.0,19485.0,534028.3500000002,5750.07,842086.4300000002
202406,233019,11787,38257,70555,875,78737,97,131712,34020,20354,54874,30028,28209,10261,13567,7062,9744,6,98877,30,4,5,22,8,0,5339,142371,1784,70,491,342,739,99,43,0,82,70613.15,0.0,131323.96,5000.0,0.0,0.0,0.0,845598.92,9471.22,1062007.25
202407,254096,13101,40543,82847,2061,102704,80,144785,36606,24601,37128,32977,31677,10425,14957,6922,21157,7,118122,31,6,1,21,10,0,5873,131171,1826,151,399,328,807,102,39,0,75,0.0,0.0,63289.23000000001,2250.0,0.0,0.0,4000.0,8265.0,5114.24,82918.47000000002
202408,252850,14253,46315,87169,2402,112416,54,181144,13810,24534,18772,31531,37093,14338,17446,11722,15855,1494,129479,31,2,4,23,8,0,7218,107677,2202,187,640,376,824,141,34,0,91,61301.52,0.0,92527.74,0.0,0.0,0.0,10388.25,381489.7,2200.77,547907.98
202409,236865,5080,42372,81909,1566,107521,118,176877,5450,18959,20635,28271,34293,12813,14777,9823,14214,3226,117417,30,5,6,21,9,0,6540,69129,1641,209,396,246,616,115,59,0,62,53826.13500000001,0.0,136639.27375,4218.59375,1987.5,0.0,8346.9625,428503.335,4811.9725,638333.7725000001
202410,244208,11055,41872,80620,1726,100345,87,158630,22472,22112,32852,30702,32818,11959,15187,8882,15243,1183,115974,31,2,4,23,8,0,6243,112587,1863,154,482,323,747,114,44,0,78,46435.0,0.0,105945.0,2867.0,497.0,0.0,5684.0,415964.0,5400.0,582792.0
202411,247005,10872,42776,83136,1939,105747,85,165359,19585,22552,27347,30870,33970,12384,15592,9337,16617,1478,120248,30,5,5,21,9,0,6469,105141,1883,175,479,318,749,118,44,0,77,40391.0,0.0,99600.0,2334.0,621.0,0.0,7105.0,308556.0,4382.0,462989.0
202412,245232,10315,43334,83209,1908,106507,86,170503,15329,22039,24902,30344,34544,12874,15751,9941,15482,1845,120780,31,7,6,22,9,0,6618,98634,1897,181,499,316,734,122,45,0,77,50488.0,0.0,108678.0,2355.0,776.0,0.0,7881.0,383628.0,4199.0,558005.0
